CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;HCNPic;NR;PA;DRY;DMCsg;PTR;PPA;IC;AP
BGM-0976;9;5;5;5;1;3;4;5;3;2;3;5;0;5;3;7;5;1;1;1;2;2;2;2;7;5;2;0;4;3;2;5;100;11.68;3.78;3.092807468;14.5;2.806666667;23.79166667;54.18333333;7.97147992070682;4.01472833970237;3.87015744660663;4.68899064704316;36.336273561323;11.934667040544;11.2816089498108;51.2767137806538;1.61307463607254
BGM-1023;7;5;5;3;3;9;3;5;4;3;1;5;1;5;3;7;5;1;1;1;1;0;2;4;7;0;3;1;3;3;2;5;0;12.74;3.26;3.904338451;14.96;3.203333333;21.3125;68.50666667;4.18314085602423;4.46105015288305;2.4744589884101;4.63853458395948;35.69402669862;14.4776822410688;19.8458256939916;44.2019144040126;2.22197304743333
BGM-1050;7;7;5;7;3;6;2;5;4;1;1;5;1;5;3;3;5;1;1;1;1;0;2;2;7;5;2;0;4;3;2;5;0;15.5;3.66;4.255433855;27.14;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;4.03559442651072;3.23659759510223;7.093122446599;35.9155287353322;23.9898026328568;26.021887499044;45.2493748007436;2.19492907065748
BGM-1078;3;2;5;3;3;9;3;3;4;1;1;5;1;5;3;3;5;1;1;1;2;1;2;2;7;5;3;0;4;3;3;5;90;15.6;3.94;3.965944842;18.14;2.933333333;24.2875;64.1175;6.16405530317744;3.79473427809756;3.50187216949818;6.44123730352816;35.9564890137963;18.1132889839505;21.7491512812554;44.2299904349014;1.95333110108883
BGM-1091;7;7;5;5;3;6;2;5;3;1;1;5;0;5;3;7;5;1;1;1;2;1;2;2;7;0;2;0;3;3;2;3;90;13.76;3.74;3.684738874;17.58;3.836666667;23.69583333;59.83583333;8.00861925955203;3.76697208755922;4.09164472095794;5.27048064487195;32.8224844608248;16.602309841119;16.9698119181749;47.974776111746;1.83947624795613
BGM-1146;5;5;5;3;3;9;3;5;4;2;3;5;1;5;1;7;5;1;1;1;3;2;2;2;7;5;1;0;3;3;1;5;90;15.72;4.36;3.612000777;19.9;3.296666667;19;60.47;8.12593534996497;3.82339363735861;3.43588445918568;5.26739355623142;34.3376401954658;13.9151471192716;16.7604126054931;42.1890142243659;1.98551298082244
BGM-1156;5;2;5;3;3;6;2;3;4;1;1;5;1;5;3;3;5;1;1;1;2;2;2;2;7;5;3;0;3;3;2;5;90;13.96;4.12;3.412603092;17.56;2.71;22.325;67.14416667;6.92733318923372;4.56647769640298;3.53232760348675;7.22686601464022;36.90375016838;22.8914594624029;25.3792580646706;47.5588633087432;2.14445604121003
BGM-1162;3;5;5;3;3;9;3;5;4;1;2;5;0;5;1;3;5;1;2;1;2;3;1;2;7;3;3;0;3;3;2;5;90;9.7;2.22;4.383864734;16.78;3.71;28.90416667;59.65;7.95571649655352;4.26621157124634;3.63516155328229;5.37779599078621;37.3965290495345;16.0635027555803;17.7838555370015;45.5156177460267;2.04814610138693
BGM-1183;7;3;5;3;3;6;4;3;3;2;2;5;1;5;3;3;5;1;2;1;2;2;2;2;7;5;3;1;4;7;2;7;80;14.02;3.58;3.942751051;16.32;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;4.03559442651072;3.47970860478025;4.60052511481401;34.9587610307119;12.7897174709146;13.2655193285047;44.2606102602274;1.65691441738859
BGM-1186;9;3;5;3;3;6;2;3;4;1;1;5;1;5;3;3;5;1;3;1;3;2;2;2;7;5;3;1;4;3;1;7;100;12.34;4;3.08801697;17.72;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;4.03559442651072;3.54196005663819;6.54422679136453;36.6898189193327;21.076027995278;30.4465849798375;45.2626596157951;2.25355784031158
