CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;HCNPic;NR;PA;DRY;DMCsg;PTR;PPA;IC;AP
BGM-0699;9;7;3;3;3;8;2;5;1;1;2;5;0;5;3;7;5;1;1;1;1;2;2;2;7;0;2;0;3;3;2;3;0;13.58;3.24;4.207440476;17.84;3.216666667;31;54.60333333;8.11673117818167;3.7518000387789;4.03337681820148;6.39496732790232;37.2628240098886;22.6516533671752;16.5415176032741;57.0944597714866;1.83635794021393
BGM-0702;7;7;3;3;2;6;3;5;2;1;1;5;1;2;3;3;5;1;1;1;2;2;2;2;3;3;2;1;3;3;2;7;90;13.46;3.36;4.037449221;10.46;2.453333333;23.11111111;62.10888889;8.00030244853368;4.13601851163184;3.32741552388817;5.61123520598851;36.4076094069698;15.9639816254814;22.0393662658937;43.2701594219564;2.13872236705455
BGM-0741;5;7;5;3;3;6;2;5;1;1;1;5;1;5;3;7;5;2;2;1;2;2;2;2;3;3;3;0;4;3;3;5;100;12.7;3.34;3.861934714;19.26;3.32;18.33333333;45.30333333;8.00030244853368;4.36877072766891;3.87179994024488;5.78034066300362;34.0462856507429;13.0424835356953;17.6357578005986;34.5535629179117;1.5791163165867
BGM-0780;5;9;5;3;3;7;2;5;1;4;3;5;0;5;3;7;5;1;2;1;3;1;2;2;3;3;3;0;4;3;3;5;90;21.82;6.86;3.186785087;35.3;2.446666667;26.5;70.4475;8.07691405262126;3.13604964919152;4.02288414127476;5.68696539637528;36.8776365197291;15.692158650487;15.2959485474947;48.8054107869628;1.88545895470866
BGM-0781;7;5;5;5;3;9;3;5;1;1;1;5;1;5;3;3;5;1;1;1;2;0;2;1;7;5;3;0;4;3;3;5;90;16.18;4.64;3.490089819;22.84;3.083333333;21.125;58.245;8.07691405262126;4.17015023539712;3.24765480825242;5.26903086971046;37.4411647869168;15.2798263262353;20.3211275360751;42.3611152122493;1.90286751216295
BGM-0799;5;7;5;5;2;8;2;5;4;1;1;5;1;5;3;7;5;1;1;1;2;0;2;3;7;3;2;0;3;5;2;5;90;17.06;4.76;3.593437951;26.08;2.236666667;22.66666667;41.2;6.18753892481935;3.56028600519278;3.94329882613221;4.44067272214067;33.4065444556797;9.13192480745867;21.3306054592717;32.6948294520981;2.05302651299867
BGM-0806;3;3;5;3;3;9;3;3;4;4;1;5;0;5;3;3;5;1;2;1;2;2;2;2;7;5;3;0;3;3;1;5;110;11.36;3.74;3.043793684;18;2.586666667;28.45833333;62.70833333;3.39275037121773;2.97166397375033;4.15131875041867;5.12974342534452;34.1054671766073;13.604080621385;15.7385326529251;40.4282548473609;1.88061463246732
BGM-0829;5;2;5;3;3;7;1;3;1;3;1;5;1;5;3;7;5;1;2;1;2;1;2;4;3;3;3;0;4;3;2;5;100;14.6;3.54;4.138018557;20.06;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;4.03559442651072;3.61510697608854;4.88067989239277;32.8346968542224;14.5632813759734;16.9596305136644;46.7926865253286;1.65769150869756
BGM-0843;3;5;5;3;2;5;4;5;4;1;1;5;0;5;3;7;5;1;1;1;3;2;2;2;7;5;3;0;4;3;3;5;90;13.96;3;4.674181601;18.54;2.853333333;28.66583333;64.275;8.08838597854407;5.01905362702049;2.8133986441014;6.56370485513301;36.4973966121936;23.2995902321269;25.7633519807744;46.6781841269139;2.19871117688361
BGM-0847;5;5;5;3;2;8;1;3;4;1;1;5;1;5;3;3;5;1;3;1;3;1;2;2;7;0;3;0;3;3;2;7;100;16.24;4.44;3.665240371;21.64;2.633333333;23.77777778;70.91888889;4.00749099573326;4.75325223204693;3.0815373206941;8.08575078334918;35.8828058862726;27.2360820229133;26.3779580386298;49.9345844584092;2.09166274216756
