CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;HCNPic;NR;PA;DRY;DMCsg;PTR;PPA;IC;AP
BGM-0623;7;3;5;3;3;9;3;5;4;4;1;3;1;5;7;3;5;1;1;1;2;2;2;3;7;3;3;1;4;7;2;5;110;16.28;4.54;3.585626478;26.72;1.796666667;38.66666667;74.47333333;3.59843129414722;3.4055638570987;4.35508372550945;3.85306869551031;35.7664455551717;8.66473325396205;17.2823377610914;32.0420046295001;1.61431297111843
BGM-0631;7;5;3;3;2;6;3;5;4;3;1;3;1;5;3;3;5;1;3;2;2;1;2;2;7;5;3;1;4;5;1;7;90;15.92;5.66;2.824646465;26.58;1.413333333;21.55555555;54.61666667;7.85020677948608;3.71297399400711;4.0085423791357;4.53179889570603;31.3422019702174;13.7075964650855;15.6378962370821;43.5965752096056;1.72088501654753
BGM-0649;7;5;5;3;2;6;2;5;4;1;1;5;1;2;3;7;5;1;1;1;1;0;2;2;7;3;3;0;4;7;2;5;0;17.22;4.24;4.081673641;29;1.506666667;44;61.39333333;6.93656924811383;4.13894683906463;3.04025341389377;5.18598509986632;34.962613900025;17.8778802028983;25.1439278358249;42.1334177843582;2.19855275163994
BGM-0655;5;1;5;3;2;8;1;3;2;2;1;7;1;5;3;7;5;1;2;1;1;0;2;3;7;5;2;0;4;3;1;5;0;15.08;4.46;3.380726;22.22;1.856666667;31.11111111;52.79333333;5.28161220943229;3.27443764310343;3.22430683775521;5.33340993060395;35.2500945845725;15.9084950584741;22.4451582459823;39.6532040440277;1.65500663134251
BGM-0673;7;5;5;3;2;5;3;5;4;2;3;5;0;5;3;3;5;1;1;1;2;2;1;2;7;5;3;0;4;3;2;5;80;15.22;4.1;3.714981685;18.1;2.906666667;21.66666667;93.38;7.93192834637529;4.03559442651072;2.36213533626988;4.56444389020589;34.7078094996501;14.6658863899311;20.1773604921017;40.8071486925137;2.13527596058767
BGM-0699;9;7;3;3;3;8;2;5;1;1;2;5;0;5;3;7;5;1;1;1;1;2;2;2;7;0;2;0;3;3;2;3;0;13.58;3.24;4.207440476;17.84;3.216666667;31;54.60333333;8.11673117818167;3.7518000387789;4.03337681820148;6.39496732790232;37.2628240098886;22.6516533671752;16.5415176032741;57.0944597714866;1.83635794021393
BGM-0702;7;7;3;3;2;6;3;5;2;1;1;5;1;2;3;3;5;1;1;1;2;2;2;2;3;3;2;1;3;3;2;7;90;13.46;3.36;4.037449221;10.46;2.453333333;23.11111111;62.10888889;8.00030244853368;4.13601851163184;3.32741552388817;5.61123520598851;36.4076094069698;15.9639816254814;22.0393662658937;43.2701594219564;2.13872236705455
BGM-0780;5;9;5;3;3;7;2;5;1;4;3;5;0;5;3;7;5;1;2;1;3;1;2;2;3;3;3;0;4;3;3;5;90;21.82;6.86;3.186785087;35.3;2.446666667;26.5;70.4475;8.07691405262126;3.13604964919152;4.02288414127476;5.68696539637528;36.8776365197291;15.692158650487;15.2959485474947;48.8054107869628;1.88545895470866
BGM-0781;7;5;5;5;3;9;3;5;1;1;1;5;1;5;3;3;5;1;1;1;2;0;2;1;7;5;3;0;4;3;3;5;90;16.18;4.64;3.490089819;22.84;3.083333333;21.125;58.245;8.07691405262126;4.17015023539712;3.24765480825242;5.26903086971046;37.4411647869168;15.2798263262353;20.3211275360751;42.3611152122493;1.90286751216295
BGM-0799;5;7;5;5;2;8;2;5;4;1;1;5;1;5;3;7;5;1;1;1;2;0;2;3;7;3;2;0;3;5;2;5;90;17.06;4.76;3.593437951;26.08;2.236666667;22.66666667;41.2;6.18753892481935;3.56028600519278;3.94329882613221;4.44067272214067;33.4065444556797;9.13192480745867;21.3306054592717;32.6948294520981;2.05302651299867
BGM-0806;3;3;5;3;3;9;3;3;4;4;1;5;0;5;3;3;5;1;2;1;2;2;2;2;7;5;3;0;3;3;1;5;110;11.36;3.74;3.043793684;18;2.586666667;28.45833333;62.70833333;3.39275037121773;2.97166397375033;4.15131875041867;5.12974342534452;34.1054671766073;13.604080621385;15.7385326529251;40.4282548473609;1.88061463246732
BGM-0814;3;7;3;5;1;3;4;5;4;3;1;5;1;5;3;3;5;1;1;1;2;3;1;2;7;5;2;1;3;3;1;5;90;11.64;3.94;2.951937022;19.7;1.97;20.75;53.9175;3.93121065263896;3.49358446440256;3.62900366928545;4.99388486159895;33.688726905019;16.6576476572901;21.4155117949381;40.2229318208711;1.93501998521332
BGM-0829;5;2;5;3;3;7;1;3;1;3;1;5;1;5;3;7;5;1;2;1;2;1;2;4;3;3;3;0;4;3;2;5;100;14.6;3.54;4.138018557;20.06;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;4.03559442651072;3.61510697608854;4.88067989239277;32.8346968542224;14.5632813759734;16.9596305136644;46.7926865253286;1.65769150869756
BGM-0843;3;5;5;3;2;5;4;5;4;1;1;5;0;5;3;7;5;1;1;1;3;2;2;2;7;5;3;0;4;3;3;5;90;13.96;3;4.674181601;18.54;2.853333333;28.66583333;64.275;8.08838597854407;5.01905362702049;2.8133986441014;6.56370485513301;36.4973966121936;23.2995902321269;25.7633519807744;46.6781841269139;2.19871117688361
BGM-0847;5;5;5;3;2;8;1;3;4;1;1;5;1;5;3;3;5;1;3;1;3;1;2;2;7;0;3;0;3;3;2;7;100;16.24;4.44;3.665240371;21.64;2.633333333;23.77777778;70.91888889;4.00749099573326;4.75325223204693;3.0815373206941;8.08575078334918;35.8828058862726;27.2360820229133;26.3779580386298;49.9345844584092;2.09166274216756
BGM-0866;7;5;5;3;3;9;3;3;3;1;1;5;1;5;3;7;5;1;1;1;2;1;2;1;7;5;3;0;4;3;3;5;80;14.2;3.42;4.162223741;19.04;2.19;28.66666667;72.02833333;6.95994655217264;4.44484768942713;2.12678890761636;6.51280765301537;37.5503236757712;23.8228987092471;27.6015027028813;45.5544124777271;2.30889769276073
BGM-0868;7;5;3;5;2;8;1;7;4;1;1;5;1;5;3;3;5;1;3;1;2;0;1;2;7;5;3;0;4;7;1;7;90;17.2;4.94;3.481072429;29.86;2.186666667;52;61.26;6.02387265172664;3.4209504281663;3.47970860478025;7.33278535685579;34.8810956654974;22.9084441488114;25.0984875865142;48.269426233168;2.24081843149488
BGM-0870;3;3;5;3;2;8;2;5;1;4;2;3;0;5;7;7;5;1;1;1;2;0;2;2;3;3;2;0;3;3;2;5;90;12.82;4.02;3.192426119;20.18;1.99;20.33333333;64.88222222;8.00162107433551;3.67836643419176;3.59705643945113;5.59357008349276;33.0799104327713;17.2026185700402;16.1212691392687;52.3111112872909;1.67400564354592
BGM-0886;5;5;5;5;2;5;2;5;3;3;2;5;1;5;3;3;5;2;1;1;2;2;1;2;7;3;2;1;4;3;2;5;90;11.72;3.44;3.411557272;19.26;1.466666667;19.9;54.22;6.78589518687804;5.72743825013686;3.31100804781736;4.89130696345395;31.6275525977915;17.4165820868888;16.6682708426711;50.923902243921;2.2203157761204
BGM-0901;7;5;5;5;3;7;1;5;2;2;3;5;1;5;3;3;5;2;2;1;1;1;2;2;3;3;2;0;4;7;3;5;0;17.54;4.44;3.994923077;26.62;2.64;37;81.10666667;8.03294774509116;5.05180751281968;3.16926885971213;7.87961734292647;36.7365368297014;30.8717192764176;30.2006153687021;46.7762783137016;2.01958011527372
