Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;HCNPic;NR;PA;DRY;DMCsg;PTR;PPA;IC;AP
536;BGM-0657;5;1;5;3;3;6;3;3;3;3;1;5;1;5;7;7;5;1;2;1;2;2;2;2;7;5;3;1;4;3;2;3;100;14.38;3.52;4.086127572;15.66;2.436666667;24.08333333;57.47666667;4.83275115816555;5.06110063285646;4.05176954491405;5.00756575346202;35.8098202045043;13.2930793966894;15.9586324681022;43.8322826898827;1.80673017741266
542;BGM-0664;7;2;5;3;3;7;1;3;1;1;1;5;0;2;7;3;5;1;2;1;2;1;2;2;7;5;3;1;3;5;3;3;100;11.68;3.54;3.306134042;16.32;2.723333333;29.20833333;62.915;6.90338602520584;3.00937132729433;4.07701142919043;5.23868260706776;37.3271215575596;15.0653780149558;14.2520499511967;48.6112949291773;1.66277016177387
546;BGM-0668;7;7;1;3;1;4;1;5;1;1;1;5;1;5;3;7;5;1;1;1;2;1;2;2;3;3;2;0;4;3;1;3;90;10.4;3.34;3.127691668;14.08;1.653333333;30;30.60666667;6.18753892481935;3.582782215351;3.75566548748994;4.57968041333916;34.7873412082943;8.50746096503691;12.5256506122259;41.0899974371785;1.19714443635559
549;BGM-0671;3;2;5;3;3;6;3;3;4;1;2;5;1;5;3;7;5;1;1;1;2;0;2;2;7;5;3;0;4;3;1;5;60;12.3;2.5;5.0000481;18.54;1.876666667;25;58.71416667;4.38160565119085;6.14681067530523;2.93711406471761;4.84805765150132;30.7905709520268;15.0703407767416;12.097528425559;56.9119739698682;1.63854781595325
567;BGM-0706;5;5;5;5;2;6;3;3;4;2;1;5;1;2;3;3;5;1;1;1;3;0;1;3;7;3;3;0;3;3;2;7;80;19.36;4.44;4.34501332;25.34;2.06;20.77777778;50.16888889;7.93737271233902;4.00778230853457;3.54885550020684;4.76288542621722;36.7814533802263;12.5399263015902;20.2786880087422;34.5131078359521;2.04657007648214
572;BGM-0714;5;5;5;3;3;9;3;3;4;1;1;5;0;5;3;7;5;1;1;1;2;0;2;1;7;5;3;0;4;3;1;5;90;17.08;4.68;3.675384278;26.14;3.516666667;22.16666667;60.92666667;4.40238567482744;5.52728778845809;2.40914842213458;7.41674529035843;34.9567066145267;31.0833474244857;28.9066351525098;50.3330463218588;2.36601879404916
576;BGM-0726;9;7;5;5;2;9;3;5;4;1;1;3;0;3;3;7;5;1;1;1;3;3;1;2;7;5;2;1;3;3;2;5;100;10.58;2.52;4.276339523;14.6;1.596666667;22.10416667;54.88;8.1001120448098;4.55853867148445;2.97348305314114;4.29667342959017;35.4688033691558;13.0234325952044;14.3958784088539;47.0513542804397;1.82533004803333
580;BGM-0737;7;7;5;3;3;8;2;5;4;1;1;5;1;6;3;3;5;1;1;1;1;1;2;2;7;5;3;0;4;3;2;5;0;16.52;2.24;7.368045361;23.06;2.266666667;25.66666667;40.06333333;3.70670899262861;4.077057979827;3.09929947601058;4.88553601703929;34.4644216953239;16.031966162738;14.2244936451395;52.2612894169139;1.8709918937623
583;BGM-0752;7;5;5;5;3;8;2;7;3;2;3;5;1;5;3;3;5;1;2;1;3;1;2;3;7;3;3;1;3;3;1;7;100;13.32;2.76;4.829430285;16.26;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;4.03559442651072;3.54196005663819;4.07700527295362;33.4263945636157;9.74795803889252;13.312624538253;30.7390263200739;1.93765633405461
588;BGM-0779;7;7;3;3;1;3;4;5;3;2;3;5;0;5;7;7;5;1;1;1;2;3;2;2;7;5;2;1;4;3;1;5;90;16.02;4.36;3.675264271;20.94;3.89;24.20833333;58.08166667;6.87135119451025;5.54840540741739;3.91458518334804;4.871867864929;35.0905813333078;15.9318242744112;16.8343376834516;46.9057876012737;1.8895281436972
